result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
1,8463675.0,8463675.0,8463675.0,8463675.0,8479635.0,8463675.0,8463675.0,8495595.0,0,8463675.0,8463675.0
2,8463675.0,8463675.0,8463675.0,8463675.0,8488185.0,8463675.0,8463675.0,8495595.0,8500275.0,8591250.0,8506425.0
3,8463675.0,8472225.0,8463675.0,8463675.0,8510190.0,8463675.0,8463675.0,8495595.0,8500275.0,8621175.0,8562285.0
4,8463675.0,8472225.0,8463675.0,8463675.0,8510190.0,8463675.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
5,8463675.0,8472225.0,8463675.0,8463675.0,8510190.0,8477700.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
6,8463675.0,8480775.0,8463675.0,8463675.0,8518740.0,8477700.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
7,8463675.0,8489325.0,8463675.0,8463675.0,8518740.0,8496000.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
8,8463675.0,8489325.0,8463675.0,8463675.0,8543250.0,8496000.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
9,8463675.0,8489325.0,8463675.0,8463675.0,8551800.0,8496000.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
10,8463675.0,8489325.0,8463675.0,8463675.0,8551800.0,8496000.0,8463675.0,8550495.0,8517375.0,8621175.0,8605035.0
11,8463675.0,8489325.0,8463675.0,8463675.0,8551800.0,8496000.0,8463675.0,8569995.0,8517375.0,8621175.0,8605035.0
12,8463675.0,8489325.0,8463675.0,8463675.0,8551800.0,8496000.0,8463675.0,8569995.0,8517375.0,8621175.0,8751435.0
13,8463675.0,8489325.0,8463675.0,8463675.0,8551800.0,8496000.0,8463675.0,8569995.0,8517375.0,8621175.0,8751435.0
14,8463675.0,8489325.0,8463675.0,8463675.0,8588400.0,8496000.0,8463675.0,8569995.0,8517375.0,8621175.0,8751435.0
15,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8569995.0,8517375.0,8621175.0,8861235.0
16,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8615535.0,8517375.0,8621175.0,8861235.0
17,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8615535.0,8517375.0,8621175.0,8861235.0
18,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8615535.0,8517375.0,8621175.0,8861235.0
19,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8615535.0,8517375.0,8621175.0,8861235.0
20,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,8989335.0
21,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9032085.0
22,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
23,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
24,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
25,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
26,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8496000.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
27,8463675.0,8489325.0,8463675.0,8463675.0,8604360.0,8535900.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
28,8463675.0,8493600.0,8463675.0,8463675.0,8604360.0,8535900.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
29,8463675.0,8493600.0,8463675.0,8463675.0,8604360.0,8535900.0,8463675.0,8632635.0,8517375.0,8621175.0,9122715.0
30,8463675.0,8493600.0,8463675.0,8463675.0,8604360.0,8535900.0,8463675.0,8704635.0,8517375.0,8621175.0,9122715.0
31,8463675.0,8493600.0,8463675.0,8463675.0,8604360.0,8535900.0,8463675.0,8721735.0,8517375.0,8621175.0,9122715.0
32,8463675.0,8493600.0,8463675.0,8463675.0,8612910.0,8535900.0,8463675.0,8738835.0,8517375.0,8621175.0,9122715.0
33,8463675.0,8493600.0,8463675.0,8463675.0,8612910.0,8535900.0,8463675.0,8754795.0,8517375.0,8621175.0,9122715.0
34,8463675.0,8493600.0,8463675.0,8463675.0,8612910.0,8535900.0,8463675.0,8792595.0,8517375.0,8621175.0,9122715.0
35,8463675.0,8493600.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8810895.0,8517375.0,8621175.0,9122715.0
36,8463675.0,8493600.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8810895.0,8517375.0,8621175.0,9122715.0
37,8463675.0,8509560.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8827995.0,8517375.0,8621175.0,9122715.0
38,8463675.0,8509560.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8827995.0,8517375.0,8621175.0,9122715.0
39,8463675.0,8518110.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8827995.0,8517375.0,8621175.0,9122715.0
40,8463675.0,8518110.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8827995.0,8517375.0,8621175.0,9193965.0
41,8463675.0,8526660.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8827995.0,8517375.0,8621175.0,9193965.0
42,8463675.0,8544960.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9193965.0
43,8463675.0,8553510.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9219615.0
44,8463675.0,8553510.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
45,8463675.0,8553510.0,8463675.0,8463675.0,8630010.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
46,8463675.0,8562060.0,8463675.0,8463675.0,8637990.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
47,8463675.0,8562060.0,8463675.0,8463675.0,8637990.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
48,8463675.0,8562060.0,8463675.0,8463675.0,8637990.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
49,8463675.0,8562060.0,8463675.0,8463675.0,8637990.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
50,8463675.0,8562060.0,8463675.0,8463675.0,8637990.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
51,8463675.0,8579160.0,8463675.0,8463675.0,8674590.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9275190.0
52,8463675.0,8579160.0,8463675.0,8463675.0,8674590.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9341040.0
53,8463675.0,8579160.0,8463675.0,8463675.0,8674590.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9341040.0
54,8463675.0,8579160.0,8463675.0,8463675.0,8674590.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9341040.0
55,8463675.0,8579160.0,8463675.0,8463675.0,8674590.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
56,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
57,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
58,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
59,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
60,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9372960.0
61,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
62,8463675.0,8579160.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
63,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
64,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
65,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
66,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
67,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9453045.0
68,8463675.0,8580300.0,8463675.0,8463675.0,8690550.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9463875.0
69,8463675.0,8580300.0,8463675.0,8463675.0,8702805.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9463875.0
70,8463675.0,8580300.0,8463675.0,8463675.0,8702805.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9463875.0
71,8463675.0,8580300.0,8463675.0,8463675.0,8702805.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9463875.0
72,8463675.0,8580300.0,8463675.0,8463675.0,8718765.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9463875.0
73,8463675.0,8580300.0,8463675.0,8463675.0,8727315.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9469860.0
74,8463675.0,8580300.0,8463675.0,8463675.0,8727315.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9549660.0
75,8463675.0,8580300.0,8463675.0,8463675.0,8727315.0,8535900.0,8463675.0,8901195.0,8517375.0,8621175.0,9549660.0
76,8463675.0,8580300.0,8463675.0,8463675.0,8727315.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9549660.0
77,8463675.0,8580300.0,8463675.0,8463675.0,8735295.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9549660.0
78,8463675.0,8580300.0,8463675.0,8463675.0,8735295.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9555810.0
79,8463675.0,8580300.0,8463675.0,8463675.0,8788995.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
80,8463675.0,8580300.0,8463675.0,8463675.0,8788995.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
81,8463675.0,8580300.0,8463675.0,8463675.0,8804955.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
82,8463675.0,8580300.0,8463675.0,8463675.0,8804955.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
83,8463675.0,8580300.0,8463675.0,8463675.0,8804955.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
84,8463675.0,8580300.0,8463675.0,8463675.0,8804955.0,8535900.0,8463675.0,8901195.0,8531235.0,8621175.0,9564360.0
85,8463675.0,8580300.0,8463675.0,8463675.0,8820915.0,8535900.0,8463675.0,8922465.0,8536080.0,8621175.0,9564360.0
86,8463675.0,8580300.0,8463675.0,8463675.0,8857515.0,8535900.0,8463675.0,8922465.0,8585100.0,8621175.0,9564360.0
87,8463675.0,8580300.0,8463675.0,8463675.0,8889435.0,8535900.0,8463675.0,8922465.0,8622900.0,8621175.0,9564360.0
88,8463675.0,8580300.0,8463675.0,8463675.0,8897985.0,8535900.0,8463675.0,8922465.0,8622900.0,8621175.0,9564360.0
89,8463675.0,8580300.0,8463675.0,8463675.0,8897985.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
90,8463675.0,8580300.0,8463675.0,8463675.0,8897985.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
91,8463675.0,8580300.0,8463675.0,8463675.0,8897985.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
92,8463675.0,8580300.0,8463675.0,8463675.0,8922495.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
93,8463675.0,8580300.0,8463675.0,8463675.0,8938455.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
94,8463675.0,8580300.0,8463675.0,8463675.0,8975055.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
95,8463675.0,8580300.0,8463675.0,8463675.0,8991015.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
96,8463675.0,8580300.0,8463675.0,8463675.0,8991015.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
97,8463675.0,8580300.0,8463675.0,8463675.0,9013020.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
98,8463675.0,8580300.0,8463675.0,8463675.0,9013020.0,8535900.0,8463675.0,8935290.0,8622900.0,8621175.0,9564360.0
99,8463675.0,8580300.0,8463675.0,8463675.0,9013020.0,8535900.0,8463675.0,8990190.0,8622900.0,8621175.0,9564360.0
100,8463675.0,8580300.0,8463675.0,8463675.0,9013020.0,8535900.0,8463675.0,8990190.0,8622900.0,8621175.0,9564360.0
101,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
102,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
103,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
104,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
105,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
106,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
107,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
108,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
109,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
110,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
111,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
112,8463675.0,8580300.0,8463675.0,8463675.0,9044940.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
113,8463675.0,8580300.0,8463675.0,8463675.0,9059130.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
114,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
115,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8535900.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
116,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
117,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
118,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
119,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
120,8463675.0,8580300.0,8463675.0,8463675.0,9068880.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
121,8463675.0,8580300.0,8463675.0,8463675.0,9087180.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
122,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
123,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
124,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
125,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
126,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
127,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
128,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
129,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
130,8463675.0,8580300.0,8463675.0,8463675.0,9119100.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
131,8463675.0,8580300.0,8463675.0,8463675.0,9135060.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
132,8463675.0,8580300.0,8463675.0,8463675.0,9163110.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
133,8463675.0,8580300.0,8463675.0,8463675.0,9163110.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
134,8463675.0,8580300.0,8463675.0,8463675.0,9163110.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
135,8463675.0,8580300.0,8463675.0,8463675.0,9181410.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
136,8463675.0,8580300.0,8463675.0,8463675.0,9181410.0,8543880.0,8463675.0,9007290.0,8622900.0,8621175.0,9564360.0
