result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
3,23185500.0,23202600.0,23185500.0,23185500.0,23209440.0,23206140.0,23185500.0,23185500.0,23189775.0,23185500.0,23198325.0
4,23185500.0,23202600.0,23185500.0,23185500.0,23209440.0,23206140.0,23185500.0,23185500.0,23189775.0,23185500.0,23218560.0
5,23185500.0,23210580.0,23185500.0,23185500.0,23221530.0,23206140.0,23185500.0,23185500.0,23189775.0,23185500.0,23218560.0
6,23185500.0,23210580.0,23185500.0,23185500.0,23221530.0,23227515.0,23185500.0,23234520.0,23238795.0,23185500.0,23218560.0
7,23185500.0,23210580.0,23185500.0,23185500.0,23221530.0,23227515.0,23185500.0,23234520.0,23255895.0,23185500.0,23227110.0
8,23185500.0,23210580.0,23185500.0,23185500.0,23221530.0,23227515.0,23185500.0,23251620.0,23255895.0,23185500.0,23227110.0
9,23185500.0,23210580.0,23185500.0,23185500.0,23230080.0,23227515.0,23185500.0,23251620.0,23292495.0,23185500.0,23227110.0
10,23185500.0,23210580.0,23185500.0,23185500.0,23230080.0,23227515.0,23185500.0,23251620.0,23292495.0,23185500.0,23227110.0
11,23185500.0,23218560.0,23185500.0,23185500.0,23237490.0,23227515.0,23185500.0,23251620.0,23310795.0,23185500.0,23227110.0
12,23185500.0,23218560.0,23185500.0,23185500.0,23237490.0,23227515.0,23185500.0,23262735.0,23310795.0,23185500.0,23227110.0
13,23185500.0,23227110.0,23185500.0,23185500.0,23237490.0,23227515.0,23185500.0,23262735.0,23310795.0,23185500.0,23227110.0
14,23185500.0,23263710.0,23185500.0,23185500.0,23237490.0,23227515.0,23185500.0,23262735.0,23310795.0,23185500.0,23227110.0
15,23185500.0,23282010.0,23185500.0,23185500.0,23237490.0,23227515.0,23185500.0,23262735.0,23310795.0,23185500.0,23227110.0
16,23185500.0,23282010.0,23185500.0,23185500.0,23274090.0,23227515.0,23185500.0,23262735.0,23310795.0,23185500.0,23227110.0
