result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
1,16182750.0,16182750.0,16182750.0,16182750.0,16198710.0,16182750.0,16182750.0,16182750.0,0,16182750.0,16262550.0
2,16182750.0,16274250.0,16244025.0,16182750.0,16198710.0,16182750.0,16182750.0,16182750.0,16182750.0,16182750.0,16262550.0
3,16182750.0,16274250.0,16244025.0,16182750.0,16198710.0,16182750.0,16182750.0,16199850.0,16182750.0,16182750.0,16262550.0
4,16182750.0,16274250.0,16244025.0,16182750.0,16198710.0,16198710.0,16182750.0,16199850.0,16182750.0,16182750.0,16262550.0
5,16182750.0,16278525.0,16244025.0,16182750.0,16198710.0,16198710.0,16182750.0,16213470.0,16182750.0,16182750.0,16262550.0
6,16182750.0,16278525.0,16244025.0,16182750.0,16218210.0,16198710.0,16182750.0,16286670.0,16182750.0,16182750.0,16262550.0
7,16182750.0,16278525.0,16244025.0,16182750.0,16218210.0,16198710.0,16182750.0,16286670.0,16182750.0,16182750.0,16262550.0
8,16182750.0,16278525.0,16244025.0,16182750.0,16234170.0,16198710.0,16182750.0,16286670.0,16182750.0,16182750.0,16262550.0
9,16182750.0,16278525.0,16244025.0,16182750.0,16234170.0,16198710.0,16182750.0,16308045.0,16182750.0,16182750.0,16262550.0
10,16182750.0,16287075.0,16244025.0,16182750.0,16234170.0,16198710.0,16182750.0,16308045.0,16182750.0,16182750.0,16262550.0
11,16182750.0,16287075.0,16244025.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
12,16182750.0,16287075.0,16244025.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
13,16182750.0,16287075.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
14,16182750.0,16287075.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
15,16182750.0,16287075.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
16,16182750.0,16287075.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
17,16182750.0,16287075.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16342245.0,16182750.0,16182750.0,16262550.0
18,16182750.0,16295625.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16374165.0,16182750.0,16182750.0,16262550.0
19,16182750.0,16295625.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16374165.0,16182750.0,16182750.0,16262550.0
20,16182750.0,16304175.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16465665.0,16182750.0,16182750.0,16262550.0
21,16182750.0,16304175.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
22,16182750.0,16320135.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
23,16182750.0,16320135.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
24,16182750.0,16320135.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
25,16182750.0,16320135.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
26,16182750.0,16320135.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
27,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
28,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
29,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16497585.0,16182750.0,16182750.0,16262550.0
30,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16531785.0,16182750.0,16182750.0,16262550.0
31,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16531785.0,16182750.0,16182750.0,16262550.0
32,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
33,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
34,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
35,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
36,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
37,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
38,16182750.0,16336095.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
39,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
40,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
41,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
42,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
43,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
44,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
45,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
46,16182750.0,16336665.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
47,16182750.0,16349490.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
48,16182750.0,16356900.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
49,16182750.0,16381410.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
50,16182750.0,16418010.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
51,16182750.0,16446060.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
52,16182750.0,16463160.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
53,16182750.0,16463160.0,16259985.0,16182750.0,16234170.0,16198710.0,16182750.0,16547745.0,16182750.0,16182750.0,16262550.0
