result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
1,16469370.0,16469370.0,16469370.0,16469370.0,0,16469370.0,16469370.0,16469370.0,0,16469370.0,16482195.0
2,16469370.0,16469370.0,16469370.0,16469370.0,16453410.0,16469370.0,16469370.0,16469370.0,16469370.0,16469370.0,16482195.0
3,16469370.0,16469370.0,16469370.0,16469370.0,16453410.0,16469370.0,16469370.0,16469370.0,16487670.0,16469370.0,16482195.0
4,16469370.0,16469370.0,16469370.0,16469370.0,16453410.0,16469370.0,16469370.0,16469370.0,16513320.0,16469370.0,16482195.0
5,16469370.0,16469370.0,16469370.0,16469370.0,16461960.0,16469370.0,16469370.0,16469370.0,16513320.0,16476915.0,16482195.0
6,16469370.0,16469370.0,16469370.0,16469370.0,16461960.0,16469370.0,16469370.0,16469370.0,16545645.0,16476915.0,16482195.0
7,16469370.0,16469370.0,16469370.0,16469370.0,16461960.0,16469370.0,16469370.0,16469370.0,16545645.0,16476915.0,16482195.0
8,16469370.0,16469370.0,16469370.0,16469370.0,16470510.0,16469370.0,16469370.0,16469370.0,16545645.0,16476915.0,16482195.0
9,16469370.0,16469370.0,16469370.0,16469370.0,16479060.0,16469370.0,16469370.0,16469370.0,16545645.0,16476915.0,16482195.0
10,16469370.0,16469370.0,16469370.0,16469370.0,16479060.0,16469370.0,16469370.0,16469370.0,16545645.0,16476915.0,16482195.0
11,16469370.0,16469370.0,16469370.0,16469370.0,16495590.0,16469370.0,16469370.0,16469370.0,16557795.0,16536765.0,16482195.0
12,16469370.0,16469370.0,16469370.0,16469370.0,16503570.0,16469370.0,16469370.0,16469370.0,16557795.0,16536765.0,16482195.0
13,16469370.0,16470510.0,16469370.0,16469370.0,16503570.0,16469370.0,16469370.0,16477920.0,16557795.0,16536765.0,16482195.0
14,16469370.0,16470510.0,16469370.0,16469370.0,16511550.0,16469370.0,16469370.0,16477920.0,16574895.0,16536765.0,16482195.0
15,16469370.0,16488810.0,16469370.0,16469370.0,16511550.0,16469370.0,16469370.0,16477920.0,16574895.0,16536765.0,16482195.0
16,16469370.0,16488810.0,16469370.0,16469370.0,16511550.0,16469370.0,16469370.0,16477920.0,16574895.0,16536765.0,16482195.0
17,16469370.0,16488810.0,16469370.0,16469370.0,16520100.0,16469370.0,16469370.0,16477920.0,16574895.0,16591665.0,16482195.0
18,16469370.0,16488810.0,16469370.0,16469370.0,16556700.0,16469370.0,16469370.0,16490745.0,16574895.0,16591665.0,16482195.0
19,16469370.0,16488810.0,16469370.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
20,16469370.0,16488810.0,16482420.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
21,16469370.0,16488810.0,16482420.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
22,16469370.0,16488810.0,16482420.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
23,16469370.0,16488810.0,16482420.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
24,16469370.0,16488810.0,16482420.0,16469370.0,16556700.0,16469370.0,16469370.0,16498725.0,16574895.0,16591665.0,16482195.0
